"תראי, ","יונית, ",מה ש,יש ,להדגיש, הוא ש,"צה""ל ",הוא ,גוף ,חזק,. ,אנחנו ,ערוכים ,לכל ,תרחיש,. ,נקודה,. אנחנו כמו ,נשק ,דרוך,. ,כוחנו באחדותנו,. ,שנה טובה ,לכל ,עם ,ישראל.
"תביני, ","תמר, ",הדבר ש,צריך ,להבהיר,: ,צבא ההגנה לישראל ,,ארגון ,עוצמתי,,כולנו ,נכונים ,,אתגר,,סוף פסוק,,קפיץ ,טעון,,נעשה ונצליח,,חג שמח ,,בית ,
"תשמעי, ","נסלי, ",הנושא ש,חובה עלינו ,להסביר, הוא כזה: ,הצבא הישראלי ,,כוח ,ערכי,,היננו ,מוכנים ,,קריאת תיגר,,אין אפס,,תותח ,,,איחלתי לחיילים בהצלחה,,רק בריאות ,,מדינת ,
"את צריכה להבין, ","לוסי, ",העניין ש,מחובתנו ,להעיר, זה ש,כוח ההגנה שלנו ,,דבר ,קשוח,,,בשלים ,,הסלמה,,זה ברור,,טנק ,,,המפקדים יובילו,,ערב טוב ,,בית ,
,"גאולה, ",המצב ש,חשוב ,להגיד,,המערך המבצעי ,,מוסד צבאי ,חסון,,,מסוגלים ,,פרובוקציה,,אין שאלה,,רובה ,,,לא אבדה תקוותנו,,לילה טוב ,,,
,"דנה, ",הדגש ש,הכרחי ,להזכיר,,חיל האוויר ,,גוף צבאי ,יציב,,,מודעים ,,החרפה,,אין שאלות,,טיל ,,,נאחז את השור בקרניו,,בהצלחה ,,,
,"מיקי, ",,חיוני ,לומר,,הכוח המתמרן ,,,איתן,,,עירניים ,,התדרדרות,,זה ודאי,,אקדח ,,,"זה לא ""אחרי המבול"" פה",,הערכה ,,,
,"אילה, ",,כדאי ,לדעת,,,,,רציני,,,יכולים ,,אפשרות,,זה מובן מאליו,,,,,אין חדש תחת השמש,,הערכה רבה ,,,
,"דפנה, ",,חובה ,לזכור,,,,,תקיף,,,,,תסריט,,זה ברור כשמש,,,,,אין סומכים על הנס,,תודה רבה ,,,
,"דוריה, ",,אני מחויב ,,,,,,קטלני,,,,,מצב,,ב-100%,,,,,אין עשן בלי אש,,,,,
,"רומי, ",,,,,,,,יעיל,,,,,,,זה טריוויאלי,,,,,אנשים אחים אנחנו,,,,,
,"אשרת, ",,,,,,,,רב עוצמה,,,,,,,זה ידוע לכל,,,,,תבדקו בציציות,,,,,
,"מיכל, ",,,,,,,,כוחני,,,,,,,זה ברור מאליו,,,,,בלשון המעטה,,,,,
,"ליטל, ",,,,,,,,עז,,,,,,,אין ספק,,,,,ולא בכדי,,,,,
,"יעל, ",,,,,,,,אדיר,,,,,,,,,,,,דיה לצרה בשעתה,,,,,
,"מגי, ",,,,,,,,,,,,,,,,,,,,הא בהא תליא,,,,,
,"טלי, ",,,,,,,,,,,,,,,,,,,,צבת בצבת עשויה,,,,,
,"דליה, ",,,,,,,,,,,,,,,,,,,,החיפזון מהשטן,,,,,
,"נגה, ",,,,,,,,,,,,,,,,,,,,הפנקס פתוח והיד רושמת,,,,,
,,,,,,,,,,,,,,,,,,,,,נשיב מלחמה שערה,,,,,
,,,,,,,,,,,,,,,,,,,,,אלו לא חלומות באספמיה,,,,,
,,,,,,,,,,,,,,,,,,,,,חצינו את הרוביקון,,,,,
,,,,,,,,,,,,,,,,,,,,,ידנו על העליונה,,,,,
,,,,,,,,,,,,,,,,,,,,,יש דין ויש דיין,,,,,
,,,,,,,,,,,,,,,,,,,,,בחזקת כבדהו וחשדהו,,,,,
,,,,,,,,,,,,,,,,,,,,,כל כלב ביג'י יומו,,,,,
,,,,,,,,,,,,,,,,,,,,,כלב נובח אינו נושך,,,,,
,,,,,,,,,,,,,,,,,,,,,איסתרא בלגינא קיש קיש קריא,,,,,
,,,,,,,,,,,,,,,,,,,,,וכל המוסיף גורע,,,,,
,,,,,,,,,,,,,,,,,,,,,מה שהיה הוא שיהיה,,,,,
,,,,,,,,,,,,,,,,,,,,,מי שטרח בערב שבת יאכל בשבת,,,,,
,,,,,,,,,,,,,,,,,,,,,נעשה ונשמע,,,,,
,,,,,,,,,,,,,,,,,,,,,עד טיפת הדם האחרונה,,,,,
,,,,,,,,,,,,,,,,,,,,,עין תחת עין,,,,,
,,,,,,,,,,,,,,,,,,,,,קשה באימונים קל בקרב,,,,,
